CCc1sc(Br)cc1Br.Clc1ccc(I)cc1 CCC(Br)C(Br)c1cc(-c2ccc(Cl)cc2)sc1Br
NS(=O)(=O)c1ccc(NCCCNC2CC2)c([N+](=O)[O-])c1.O=C1COC1 NCCCN(C1CC1)C1COC1.NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1
N[C@H]1C(=O)Nc2ccccc2S[C@H]1c1ccccc1.O=C(Cc1cc(F)cc(F)c1)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)O N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H]1C(=O)Nc2ccccc2S[C@@H]1c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1
Nc1ccc2[nH]c(=O)oc2c1.O=CCCc1ccccc1 CC(C)(C)OC(=O)N(CCCc1ccccc1)c1ccc2[nH]c(=O)oc2c1
CN[C@H]1CC[C@H](OCCCCBr)CC1.O=S(=O)(Cl)c1ccc(F)c(F)c1 BrCCCCBr.CN([C@H]1CC[C@H](O)CC1)S(=O)(=O)c1ccc(F)c(F)c1
CC(C)(C)OC(=O)NC(CC=O)c1ccccc1.O=C1N(Cc2ccc(Br)cc2)CCC12CCNCC2 CC(C)(C)OC(=O)NC(CCOS(C)(=O)=O)c1ccccc1.O=C1N(Cc2ccc(Br)cc2)CCC12CCNCC2
C=C(NC(C)=O)C(=O)OC.Cc1cc(Br)cc(Cl)c1N COC(=O)/C(=C\c1cc(C)c([N+](=O)[O-])c(Cl)c1)NC(C)=O
O=C(Cl)c1ccccc1.OCc1cc(C2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)ccc1Cl ClCc1ccccc1.O=C(OCc1cc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](O)[C@H]2OCc2ccccc2)ccc1Cl)c1ccccc1
CC(C)(C)OC(=O)N1CC[C@H](Oc2ccc(N)cc2)C1.CCOc1cccc2c1cc(C(=O)O)n2CC CCOc1cccc2c1cc(C(=O)O)n2CC.CCn1c(Oc2ccc(N)cc2)ccc1O[C@H]1CCN(C(=O)OC(C)(C)C)C1
CC(C)S(=O)(=O)Cl.CCOC(OCC)c1cc2cncc(N3CCNCC3)c2o1 CC(C)S(=O)(=O)N1CCN(c2cncc3cc(Br)oc23)CC1.CCOC(OCC)c1cc2cncc(N3CCNCC3)c2o1
BrC(Br)(Br)Br.CN(c1ccccc1CO)S(C)(=O)=O CN(c1ccccc1CBr)S(C)(=O)=O.O=C1CCC(=O)N1Br
COC(=O)CC[C@H]1O[C@H](c2cccc(OC)c2OC)c2cc(Cl)ccc2-n2c(C=O)ccc21 COC(=O)CC[C@H]1O[C@H](c2cccc(OC)c2OC)c2cc(Cl)ccc2-n2c(C(=O)O)ccc21
O=C(O)C12CCN(CC1)CC2 CCOC(=O)C12CCN(CC1)CC2
CCOC(=O)C(=O)Cl.NC(=O)c1cccn1N CCOC(=O)C(=O)OCC.NC(=O)c1cccn1N
COC(=O)c1cc(-c2ccccc2)nc(-c2ccccc2)n1 O=C(O)c1cc(Cl)nc(-c2ccccc2)n1.OB(O)c1ccccc1
CNC(=O)c1ccccc1Nc1nc(Cl)ncc1Cl.COc1cc2c(cc1N)CCOC(=O)N2C CNC(=O)c1ccccc1Nc1nc(Cl)ncc1Cl.COc1cc2c(cc1N)N(C)C(=O)OCC2
Brc1ccc(I)cc1.Cc1ccnc(Br)c1 Cc1ccnc(Cl)c1.OB(O)c1ccc(Br)cc1
CC(C)C(=O)CBr.CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1O CC(C)C(=O)CCl.CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1O
CCOC(=O)c1cn([C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)c2cc(Cl)cnc2c1=O.Fc1ccc(C[Zn+])cc1F CCOC(=O)c1cn([C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)c2cc(CBr)cnc2c1=O.OB(O)c1ccc(F)c(F)c1
Cc1nc(C(=O)N2CCOC3(CCNCC3)C2)cs1.O=Cc1cccc(CBr)c1 CCOC(OCC)c1cccc(CN2CCC3(CC2)CN(C(=O)c2csc(C)n2)CCO3)c1
CC(C)c1cc2c(Cl)ncnc2s1.NC1CCC(N)CC1 CC(C)c1cc2c(NC3CCC(NC(=O)OC(C)(C)C)CC3)ncnc2s1
CC(C)(C)c1cn2cccc(CO)c2n1 CC(C)(C)c1cn2cccc(Br)c2n1.CN(C)C=O
COc1cc(C2CC(=O)NC(C)=C2C(=O)Nc2ccc3[nH]nc(Cl)c3c2)ccc1Cl CC1=C(C(=O)O)C(c2ccc(Cl)c(O)c2)CC(=O)N1.Nc1ccc2[nH]nc(Cl)c2c1
Clc1nccc(Oc2ccc3[nH]ccc3c2)n1.Ic1ccccc1 Brc1ccc2c(ccn2-c2ccccc2)c1.Oc1ccnc(Cl)n1
CC(C)(C)OC(=O)N1CCC(Br)CC1.Oc1ccc2c(-c3c(-c4ccccn4)nn4c3CCC4)ccnc2c1 CC(C)(C)OC(=O)N1CCC(Oc2ccc3c(Cl)ccnc3c2)CC1.CC1(C)OB(c2ccccn2)OC1(C)C
Cc1nc2sccn2c1C(=O)N[C@@H]1CCCNC1.O=C(O)c1ccccc1-c1cccc(Cl)c1 Cc1nc2sccn2c1C(=O)O.N[C@@H]1CCCN(C(=O)c2ccccc2-c2cccc(Cl)c2)C1
CN1CCOCC1.COc1nc(Cl)nc(OC)n1 CN1CCOCC1.COc1nc(Cl)nc(OC)n1.F[B-](F)(F)F
BrCC1CC1.OCc1c(F)cc(O)cc1F COC(=O)c1c(F)cc(OCC2CC2)cc1F
CC(C)I.Cc1cc(C#N)cc(C(=O)c2[nH]c(=O)[nH]c(=O)c2C(C)C)c1 CC(C)c1c(C(=O)O)n(C(C)C)c(=O)[nH]c1=O.Cc1cc(C#N)cc(C(=O)N)c1
C#Cc1cc(NC(=O)Nc2ccc(C(=O)OCC)c(F)c2)cc2c1OC(C)(C)CC2(C)C C#Cc1cc(NC(=O)Nc2ccc(C(=O)OC(C)(C)C)c(F)c2)cc2c1OC(C)(C)CC2(C)C
CNc1cc(Nc2cccc(Cl)c2)ncn1.Cc1cccc(C)c1N=C=O Cc1cccc(C)c1NC(=O)N(C)c1cc(Cl)ncn1.Nc1cccc(Cl)c1
COc1ccccc1N1CCNCC1.O=C1CNC(=O)N1CCCCCl COc1ccccc1N1CCN(CCCCCl)CC1.O=C1CNC(=O)N1
CCc1cc(Br)cc(Cl)c1O.CI COc1c(Cl)cc(Br)cc1C(C)=O
O=Cc1cc([N+](=O)[O-])ccc1Cl.SCCS Cc1ccc(S(=O)(=O)O)cc1.O=Cc1cc([N+](=O)[O-])ccc1Cl
CC[C@H](N=[N+]=[N-])[C@H](O)CNC(=O)OC(C)(C)C CC[C@H](NC(=O)OCc1ccccc1)[C@H](O)CNC(=O)OC(C)(C)C
CCc1ccccc1Nc1c(C(N)=O)cnc2cc(O)c(OC)cc12.OCCN1CCNCC1 CCc1ccccc1Nc1c(C(N)=O)cnc2cc(OCCN3CCN(C(=O)OC(C)(C)C)CC3)c(OC)cc12
CN1CCC(C=O)CC1.CNCc1cc2nc(Cl)nc(N3CCOCC3)c2s1 CN1CCC(CN(C)Cc2cc3nc(Cl)nc(Cl)c3s2)CC1.CN1CCOCC1
CC(Nc1c(/C=C/c2ccc(Br)cc2)c(=O)c1=O)C(C)(C)C.[C-]#N CC(N)C(C)(C)C.N#Cc1ccc(C=Cc2c(Br)c(=O)c(=O)c2=O)cc1
COCCO.O=C(O)c1ccc(NS(=O)(=O)c2cc(Cl)sc2Cl)cc1O COCCOC(=O)c1ccc(N)cc1O.O=S(=O)(Cl)c1cc(Cl)sc1Cl
COc1ccc2c(c1)CCC2(N)C(=O)O COc1ccc2c(c1)CCC2(NC(=O)OC(C)(C)C)CO
CC1=CC(=O)OC1c1ccc(OCCCBr)cc1 BrCCCBr.C[C@@H]1CC(=O)O[C@@H]1c1ccc(O)cc1
COc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccccc2)CCO1 COc1cc(N)c(Cl)cc1C(=O)NCC1CN(C(=O)OC(C)(C)C)CCO1
COc1cc2oc(=O)c3c(c2cc1OCCCCl)CCC3.COc1ccc(N2CCNCC2)cc1 COc1cc2oc(=O)c3cc(OCCCBr)ccc3c2cc1OC.COc1ccc(N2CCNCC2)cc1
O=Cc1c(C2CC2)nc2ccc(Cl)nn12 CCOC(=O)c1c(C2CC2)nc2ccc(Cl)nn12
CC(C)(C)OC(=O)N1CCCC(CNc2ccccc2)C1.CCN=C=O CC(C)(C)OC(=O)N1CCCC(CN(C(=O)Nc2ccccc2)c2ccccc2)C1
C[C@@H]1CNC[C@H]1c1nc2c(cnn2C2CCCC2)c(=O)[nH]1 CC(C)n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ccccc4)C[C@H]3C)nc21
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)Nc1ccccc1 O=C(Nc1ccccc1)[C@@H]1CCCN1C(=O)OCc1ccccc1
Cc1ccnc(CCl)c1.Nc1ccc(-c2cc(Cc3ccc(O)cc3)no2)c(N)n1 CC1(C)OB(c2ccc(N)nc2N)OC1(C)C.Cc1ccnc(COc2ccc(Cc3cc(I)on3)cc2)c1
N#CCCCCOc1ccc(C=Cc2ccncc2)cc1.[N-]=[N+]=[N-] CCOP(=O)(Cc1ccc(OCCCCc2nnn[nH]2)cc1)OCC.O=Cc1ccc(OCCCCc2nnn[nH]2)cc1
CC1CN(C(=O)OC(C)(C)C)CCN1.O=[N+]([O-])c1ccccc1Br CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC1CNCCN1c1ccccc1[N+](=O)[O-]
CCc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1[C@H]1C[C@@H](C(=O)OC)C1 CCc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1[C@H]1C[C@@H](CO[Si](C)(C)C(C)(C)C)C1
C#CC1CC1.Cn1cc(-c2cc(OCc3cccnc3)c3c(I)cnn3c2)cn1 Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1.O=S(=O)(Oc1cc(OCc2cccnc2)c2c(C#CC3CC3)cnn2c1)C(F)(F)F
C1CC(N2CCc3nc(C4CCNCC4)sc3CC2)C1.O=C(O)c1csnn1 O=C(O)c1csnn1.c1nc(C2CCNCC2)sc1C1CCN(C2CCC2)CC1
CC1(C)CC2(CCCN(C3CCN(C(=O)c4cc(Cl)nc5ccccc45)CC3)C2)C(=O)O1.OC1CCNCC1 CC1(C)CC2(CCCN(C3CCNCC3)C2)C(=O)O1.O=C(O)c1cc(N2CCC(O)CC2)nc2ccccc12
Clc1nccc2ccc(Br)cc12.OB(O)c1ccc2[nH]ccc2c1 CC1(C)OB(c2ccc3[nH]ccc3c2)OC1(C)C.Clc1nccc2ccc(Br)cc12
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1O.Cc1cc(N(C)CCO)cc(C)n1 COc1cc2c(Cl)ncnc2cc1OCCN(C)c1cc(C)nc(C)c1.Nc1ccc(Cl)cc1F
CNc1ccc(C#N)cc1Cl.COCO[C@H]1CCN(C[C@@H](O)c2ccccc2)C1 CN(c1ccc(C#N)cc1Cl)[C@H](CN1CC[C@H](O)C1)c1ccccc1.COCCl
CCOC(=O)C1CCNCC1.Cc1ccc(-c2cc(Br)ccc2Cl)nc1 CCOC(=O)C1CCNCC1.Cc1ccc(-c2cc(Cl)ccc2Cl)nc1
N.OCc1c(-c2ccc(F)cc2)nc2cnc(Br)cn12 CCOC(=O)c1c(-c2ccc(F)cc2)nc2cnc(N)cn12
N#CC1CN2CCC1CC2 O=[N+]([O-])CC1CN2CCC1CC2
CNC.COc1ccc2c(OCc3nnc4ccc(-c5ccc(C(=O)Cl)s5)nn34)ccnc2c1 CN(C)C(=O)c1ccc(-c2ccc3nnc(CCl)n3n2)s1.COc1ccc2c(O)ccnc2c1
O[C@@H](CNCc1ncc(Cl)nc1Cl)c1ccccc1 CC(C)(C)OC(=O)N1Cc2ncc(Cl)nc2O[C@H](c2ccccc2)C1
CCOC(=O)/C=C/c1cc(C(=O)CCC(=O)Nc2nc(-c3ccccc3)c(Cc3ccccc3)s2)ccc1OCC CCOc1ccc(C(=O)CCC(=O)Nc2nc(-c3ccccc3)c(Cc3ccccc3)s2)cc1/C=C/C(=O)OC(C)(C)C
CC(=O)C(=O)O.CC(C(=O)NC(C(=O)N1CCC2NCC(COc3ccc(F)c(F)c3)C21)C(C)(C)C)N(C)C(=O)OC(C)(C)C CC(=O)C(=O)Cl.CN(C(=O)OC(C)(C)C)C(C)(C)C(C)(C)OC(=O)N(C)C(=O)N1CCC2C1C(COc1ccc(F)c(F)c1)CN2
O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(B(O)O)c1.Oc1nccc2ccc(Br)cc12 O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(-c2ccc3ccnc(OCc4ccccc4)c3c2)c1
Fc1ccc(-c2nc(CI)co2)cc1.OCC1(CO)COCOC1 CC(C)(C)[Si](C)(C)OCC1(COCc2coc(-c3ccc(F)cc3)n2)COCOC1
CC(C)(C)OC(=O)N1CCN(C(=O)CC#N)CC1 CC(C)(C)OC(=O)N1CCN(C(=O)CCNC(=O)OCc2ccccc2)CC1
CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O.Cc1ccc(S(=O)(=O)Cl)cc1 CCCCCCCCCCCCCCCC(=O)OC[C@H](OC(C)=O)[C@H]1OC(=O)C(OS(=O)(=O)c2ccc(C)cc2)=C1O
CNc1ccc(Cl)cc1.COC(=O)c1cc(Cl)ccc1NC(=O)C(CCC(=O)O)NC(=O)OCc1ccccc1 COC(=O)c1cc(Cl)ccc1N.CN(C(=O)CCC(NC(=O)OCc1ccccc1)C(=O)O)c1ccc(Cl)cc1
CC(C)(C)OC(=O)N1CCC(=O)CC1.Cn1c2c(c3ccc(-n4ccc(OCc5ccccc5)cc4=O)cc31)CNCC2 Cn1c2c(c3ccc(Br)cc31)CN(C1CCN(C(=O)OC(C)(C)C)CC1)CC2.O=c1cc(OCc2ccccc2)cc[nH]1
FC(F)(F)c1cn[nH]c1.Fc1ccc(Cl)cc1Br FC(F)(F)c1cn[nH]c1.OB(O)c1ccc(Cl)cc1Br
COC(=O)c1cc(F)c(NS(=O)(=O)c2ccc(-c3cnc(C4=CCOCC4)nc3)cc2)cc1F COC(=O)c1cc(F)c(NS(=O)(=O)c2ccc(Br)cc2)cc1F.OB(O)c1cnc(C2CCOCC2)nc1
COC(=O)[C@@H]1[C@@H]2C[C@@H](OC(C)=O)[C@@H]([C@H]2I)N1[C@H](C)c1ccccc1 CC(=O)OC(C)=O.COC(=O)[C@@H]1[C@@H]2C[C@@H](O)[C@@H](C2)N1[C@H](C)c1ccccc1
c1ccc(CN2CCN3CCOC[C@H]3C2)cc1 CC(C)(C)OC(=O)N1CCCN2CCOC[C@H]2C1
C[C@H](N)C(N)=O.O=C(O)C1CC12CCCCC2 CCOC(=O)[C@H](C)NC(=O)[C@H]1CC12CCCCC2.N
COC(=O)/C(=C\c1cc2ccnc(NC(c3ccccc3)(c3ccccc3)c3ccccc3)c2cc1OC(F)(F)F)N1CC[C@H](NC(=O)OC(C)(C)C)C1=O COC(=O)[C@@H](Cc1cc2ccnc(Cl)c2cc1OC(F)(F)F)N1CC[C@H](NC(=O)OC(C)(C)C)C1=O.NC(c1ccccc1)(c1ccccc1)c1ccccc1
CN.O=[N+]([O-])c1ccc(OCCCl)cc1 CNC(=O)COc1ccc([N+](=O)[O-])cc1
COC(=O)C1(c2ccc(-c3ccc(-n4nnc(C)c4NC(=O)O[C@H](C)c4ccccc4)cc3)cc2)CC1 C[Mg+].Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1
C=COCC.O=C1N[C@H](c2ccccc2)[C@@H]1O CCOC(C)O.O=C1N[C@@H](c2ccccc2)[C@H](O)C1Cl
OCCCCN1CCOCC1 C1COCCN1.CCOC(CCCCO)OCC
CN[C@H]1CC[C@H](OCCCCBr)CC1.O=S(=O)(Cl)c1ccc(F)cc1F BrCCCCBr.CN([C@H]1CC[C@H](O)CC1)S(=O)(=O)c1ccc(F)cc1F
CN(C)C(=O)N1CCNCC1.COC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)n3)sc2c1-c1ccc(Cl)cc1 CN(C)C(=O)N1CCN(c2nccc(Cl)n2)CC1.COC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccnc(Cl)n3)sc2c1-c1ccc(Cl)cc1
CC(C)(C)OC(=O)NCCN1CCNCC1.Fc1cccc2nc(CN3CCC[C@H]4CCc5cccnc5[C@H]43)cn12 CC(C)(C)OC(=O)NCC=O.c1cnc2c(c1)CC[C@@H]1CCCN(Cc3cn4c(N5CCNCC5)cccc4n3)[C@H]21
BrCc1ccccc1.CC(C)(C)OC(=O)NN[C@@H](CC(N)=O)C(=O)O CC(C)(C)OC(=O)NN[C@@H](CC(=O)O)C(=O)OCc1ccccc1.CCN(CC)CC
CC(=O)OC(C)=O.COc1ccc(-c2cc3cccc(Cl)n3n2)cc1 CC(=O)c1c(Cl)nn2c(Cl)cccc12.COc1ccc(B(O)O)cc1
BrCC1CC1.CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C#N)c(NC4CCC(N)CC4)c3)c2C1 CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C#N)c(NC4CCC(=O)CC4)c3)c2C1.NCC1CC1
COC(=O)[C@@H]1CN(C(=O)OC(C)(C)C)CCN1.Nc1cc2ccccc2cc1C(=O)O COC(=O)[C@@H]1CN(C(=O)OC(C)(C)C)CCN1C(=O)c1cc2ccccc2cc1[N+](=O)[O-]
CCOC(=O)Cc1cnc(-c2ccc(C(CC)(CC)c3ccc(/C=C/C(O)(C(F)(F)F)C(F)(F)F)c(C)c3)cc2C)nc1 CCC(CC)(c1ccc(/C=C/C(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(-c2ncc(CC(=O)OC)cn2)c(C)c1
CCOC(=O)C=Cc1ccc([N+](=O)[O-])cc1 CC(=O)OC(C)=O.O=Cc1ccc([N+](=O)[O-])cc1
Nc1cccc(B(O)O)c1.O=[N+]([O-])c1cc(Br)ccc1F CC(C)(C)OC(=O)Nc1cccc(-c2ccc(F)c([N+](=O)[O-])c2)c1
CC[C@@H](N)CC(=O)O.FC(F)(F)c1ccc(Br)cc1 CCOC(=O)C[C@@H](CC)Nc1ccc(C(F)(F)F)cc1
CSc1ccccc1C1CCN(C(=O)OCc2ccccc2)CC1.[OH-] CSc1ccccc1C1CCN(C(=O)OCc2ccccc2)CC1.O=C(OO)c1cccc(Cl)c1
CCOC(=O)CP(=O)(OCC)OCC.O=C(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1 CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=C(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
COc1ccc(C(=O)Cl)cc1.Oc1cccc(O)c1 COc1ccc(C(=O)c2ccc(OCc3ccccc3)cc2O)cc1
CCC(=O)c1cc(OC)c(OC)c(OC)c1.COc1ccc(C=O)cc1 CCOP(=O)(Cc1ccc(OC)cc1)OCC.COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1
NC(=O)c1cc(Oc2ccc(N(Cc3ccc(F)cc3)C(=O)C3(C(N)=O)CC3)cc2F)ccn1 NC(=O)C1(C(=O)N(Cc2ccc(F)cc2)c2ccc(Oc3ccnc([N+](=O)[O-])c3)c(F)c2)CC1
CC(=O)N(C)c1ccc2c(c1)nc(C(C)(F)F)n2CC1CCOCC1 CC(F)(F)c1nc2cc(N(C)C(=O)OC(C)(C)C)ccc2n1CC1CCOCC1
O=CC=Cc1ccccc1 CC(C)(C)[O-].O=Cc1ccccc1
CC(=O)N1c2ccc(-c3cn(CCO[Si](C)(C)C(C)(C)C)nn3)cc2[C@H](N)C[C@@H]1C.Cc1ccc(Br)nc1 CC(=O)N1c2ccc(B3OC(C)(C)C(C)(C)O3)cc2[C@H](Nc2ccc(C)cn2)C[C@@H]1C.CC(C)(C)[Si](C)(C)OCCn1cc(I)nn1
C1COCCN1.Fc1ccc(C2=NOC(Cn3ccnn3)C2)cc1F OC1(c2ccc(N3CCOCC3)c(F)c2)CC(Cn2ccnn2)ON1
CCCCN1CCN(C(=O)c2ccc(C=O)cc2)CC1.Nc1ccc(C(F)(F)F)cc1 CCCCN1CCN(C(=O)c2ccc(CN)cc2)CC1.O=S(=O)(Oc1ccc(C(F)(F)F)cc1)C(F)(F)F
CCCCCCCOc1ccc(-c2ncc(C#N)c(Cl)n2)cc1 CCCCCCCOc1ccc(B(O)O)cc1.N#Cc1cnc(Cl)nc1
ClCCN(CCCl)C[C@H]1COc2ccccc2O1.Nc1cccc(CO)c1 CS(=O)(=O)OC[C@H]1COc2ccccc2O1.OCc1cccc(N2CCNCC2)c1
CCCCCCCCCCCCCCCCO.CNCC(=O)O CCCCCCCCCCCCCCCCOC(=O)CN(C)C(=O)OC(C)(C)C
[N-]=[N+]=N[C@H]1C[C@@H](C(=O)N2CCC[C@@H]2C(=O)NC[C@H]2CCCN(CC3CCCCC3)C2)N(C(=O)CC(c2ccccc2)(c2ccccc2)c2ccccc2)C1 CC(C)(C)OC(=O)N[C@H]1C[C@@H](C(=O)N2CCC[C@@H]2C(=O)NC[C@H]2CCCN(CC3CCCCC3)C2)N(C(=O)CC(c2ccccc2)(c2ccccc2)c2ccccc2)C1
COc1ccc(Br)cc1C=O.OB(O)c1ccsc1 COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1C=O.O=Cc1cc(-c2ccsc2)ccc1F
BrCC1CCC1.C[C@H]1C[C@]2(CCN1)C(N[C@@H]1CCCC[C@H]1F)=NC(=O)N2c1cccc(F)c1 C[C@H]1C[C@]2(CCN1)C(N[C@@H]1CCCC[C@H]1F)=NC(=O)N2c1cccc(F)c1.O=CC1CCC1
COC(=O)c1ncc(Cc2ccc(F)cc2)c(C)c1O.NO Cc1c(Cc2ccc(F)cc2)cnc(C(=O)NOC2CCCCO2)c1O
CC(C)(C)Nc1nc(Cl)cc2ccn(C[C@@H](O)CO)c(=O)c12.Nc1cnccn1 CC(C)(C)Nc1nc(Nc2cnccn2)cc2ccn(C[C@@H](O)C(=O)OCc3ccccc3)c(=O)c12
CC(C)(C)OC(=O)N1CCC(=O)CC1.CCOP(=O)(Cc1ccccc1C(=O)OC)OCC CC(C)(C)OC(=O)N1CCC(=O)CC1.COC(=O)c1ccccc1C[P+](c1ccccc1)(c1ccccc1)c1ccccc1
CN.O=Cc1cc(-c2ccccc2)n(S(=O)(=O)c2ccccc2)c1Cl CN(Cc1cc(-c2ccccc2)n(S(=O)(=O)c2ccccc2)c1Cl)C(=O)OC(C)(C)C
O=C(NCc1ccccc1)NCC(C(=O)O)C(F)(F)F CCOC(=O)C(CNC(=O)NCc1ccccc1)C(F)(F)F
COc1ccc(Cc2ccc(F)nc2)c(F)c1-c1cccc(Cl)c1.O=C(O)[C@@H]1CCCN1 COc1ccc(Cc2ccc(N3CCC[C@H]3C(=O)OC(C)(C)C)nc2)c(F)c1-c1cccc(Cl)c1
CC(C)CN1C(=O)NC2(CCN(C(=O)OC(C)(C)C)CC2)C1=O.FC(F)(F)Oc1ccc(CBr)cc1 CC(C)CI.CC(C)CN1C(=O)N(Cc2ccc(OC(F)(F)F)cc2)C2(CCN(C(=O)OC(C)(C)C)CC2)C1=O
CC(C)[C@H](N)c1cccc(F)c1N1CCN(C(=O)C2CN(C(C)C)CC2c2ccc(Cl)cc2Cl)CC1.CN(C)CCC(=O)O CC(C)[C@H](NC(=O)CCN(C)C)c1cccc(F)c1N1CCNCC1.CC(C)N1C[C@H](C(=O)O)[C@H](c2ccc(Cl)cc2Cl)C1
CC(C)(C)C(=O)Cl.CCCCCCN1CCc2c1cc(C)c(N)c2C CCCCCC=O.Cc1cc2c(c(C)c1NC(=O)C(C)(C)C)CCNC2
Nc1cc(Br)ccc1[N+](=O)[O-].OB(O)c1cccs1 CC1(C)OB(c2cccs2)OC1(C)C.Nc1cc(Cl)ccc1[N+](=O)[O-]
Clc1ncc2cnn(CC3CCCNC3)c2n1.Cn1cc(N)cn1 Cn1cc(Nc2ncc3cnn(CC4CCCN(C(=O)OC(C)(C)C)C4)c3n2)cn1
CC(=O)c1cn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(-c3ccccc3Cl)c2F)c2ccc(Nc3cncnc3)cc12.CC(C)(C)C(=O)OCCl CC(=O)c1cn(CC(=O)O)c2ccc(N(COC(=O)C(C)(C)C)c3cncnc3)cc12.O=C(Nc1cccc(-c2ccccc2Cl)c1F)[C@@H]1C[C@@H](F)CN1
C1COCCN1.C=O.O=c1cc(CO)occ1O COC(=O)c1cc(=O)c(O)c(CN2CCOCC2)o1
Brc1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1.c1ccc(-c2ccc3[nH]c4ccc(-c5ccccc5)cc4c3c2)cc1 Brc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1.OB(O)c1ccccc1
C=C(C)c1cccc(C(C)(C)N)c1 CC(C)(N)c1cccc(C(C)(C)[N+](=O)[O-])c1
CN1CCN(CCO)CC1.Cc1c(B2OC(C)(C)C(C)(C)O2)ccc(O)c1Cl CN1CCNCC1.Cc1c(B2OC(C)(C)C(C)(C)O2)ccc(OCCOS(C)(=O)=O)c1Cl
Fc1ccc(N2CCNCC2)c(F)c1.Nc1nc(Cl)c2ccn(CCBr)c2n1 Fc1ccc(N2CCNCC2)c(F)c1.Nc1nc(Cl)c2ccn(CCCl)c2n1
C[Si](C)(C)C[Mg+].O=C(c1ccc2nc(-c3ccc(C4OCCCO4)cc3F)sc2n1)C1CCC1 CC1(C)OB(c2ccc(C3OCCCO3)cc2F)OC1(C)C.C[Si](C)(C)CC(O)(c1ccc2nc(Cl)sc2n1)C1CCC1
CN(C)C=O.Nc1cc(Br)c2[nH]cnc2c1 Cc1cc([N+](=O)[O-])cc2nc[nH]c12
O=[N+]([O-])c1ncccc1OC(F)(F)F CC(C)(C)OC(=O)Nc1ncccc1OC(F)(F)F
C#Cc1ccc(-c2ccc(Cl)cc2)cn1.Fc1cc(I)ccc1OCCN1CCCC1 C1CCNC1.Fc1cc(C#Cc2ccc(-c3ccc(Cl)cc3)cn2)ccc1OCCOS(C)(=O)=O
COc1ccc(-c2c(-c3ccccc3)oc3ncnc(Cl)c23)cc1.Oc1cccc(O)c1 COc1ccc(-c2c(-c3ccccc3)oc3ncnc(Oc4cccc(OC(C)=O)c4)c23)cc1
CC(C)(C)OC(=O)N(CCOc1cc(Cl)cc(C(=O)O)c1)c1ccncc1.O=S(=O)(F)CCNc1ccccc1 CC(C)(C)OC(=O)N(CCOc1cc(Cl)cc(C(=O)O)c1)c1ccncc1.O=S(=O)(CCNc1ccccc1)C(F)(F)F
C=CCC(O)c1c(C)noc1-c1ccc(-c2ccc(C3(C(=O)OCC)CC3)cc2)cc1.FC(F)(F)c1ccccc1I CCOC(=O)C1(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CC1.Cc1noc(-c2ccc(Br)cc2)c1C(O)C/C=C/c1ccccc1C(F)(F)F
